,property_link
346,https://www.abodo.com/ann-arbor-mi/properties/3515746
347,https://www.abodo.com/ann-arbor-mi/1021-church-st
348,https://www.abodo.com/ann-arbor-mi/properties/3761358
349,https://www.abodo.com/ann-arbor-mi/902-packard-st
350,https://www.abodo.com/ann-arbor-mi/715-arch-st
351,https://www.abodo.com/ann-arbor-mi/410-benjamin-st-unit-1
352,https://www.abodo.com/ann-arbor-mi/916-sybil-st-apt-1
353,https://www.abodo.com/ann-arbor-mi/934-greenwood-ave
354,https://www.abodo.com/ann-arbor-mi/properties/3747845
355,https://www.abodo.com/ann-arbor-mi/1018-vaughn-st
356,https://www.abodo.com/ann-arbor-mi/1015-s-state-st
357,https://www.abodo.com/ann-arbor-mi/724-arch
358,https://www.abodo.com/ann-arbor-mi/1027-s-forest-ave
359,https://www.abodo.com/ann-arbor-mi/1022-s-forest-ave
360,https://www.abodo.com/ann-arbor-mi/521-n-division-st
361,https://www.abodo.com/ann-arbor-mi/507-glen-ct
362,https://www.abodo.com/ann-arbor-mi/1701-hill-st
363,https://www.abodo.com/ann-arbor-mi/properties/2994796
364,https://www.abodo.com/ann-arbor-mi/505-e-hoover
365,https://www.abodo.com/ann-arbor-mi/106-w-madison-st
366,https://www.abodo.com/ann-arbor-mi/1904-geddes-ave
367,https://www.abodo.com/ann-arbor-mi/906-greenwood-ave
368,https://www.abodo.com/ann-arbor-mi/1031-michigan-ave
369,https://www.abodo.com/ann-arbor-mi/1106-s-forest-ave
370,https://www.abodo.com/ann-arbor-mi/802-arch-st
371,https://www.abodo.com/ann-arbor-mi/824-packard-st
372,https://www.abodo.com/ann-arbor-mi/331-catherine
373,https://www.abodo.com/ann-arbor-mi/1030-1032-michigan
374,https://www.abodo.com/ann-arbor-mi/1127-church-st
375,https://www.abodo.com/ann-arbor-mi/1129-white-st
376,https://www.abodo.com/ann-arbor-mi/815-packard-st
377,https://www.abodo.com/ann-arbor-mi/911-vaughn-st
378,https://www.abodo.com/ann-arbor-mi/1120-white-st
379,https://www.abodo.com/ann-arbor-mi/814-sybil-st
380,https://www.abodo.com/ann-arbor-mi/910-vaughn-st
381,https://www.abodo.com/ann-arbor-mi/properties/3515744
382,https://www.abodo.com/ann-arbor-mi/properties/2137085
383,https://www.abodo.com/ann-arbor-mi/1135-church
384,https://www.abodo.com/ann-arbor-mi/1211-roosevelt-ct
385,https://www.abodo.com/ann-arbor-mi/1133-white-st
386,https://www.abodo.com/ann-arbor-mi/1323-cambridge-road
387,https://www.abodo.com/ann-arbor-mi/910-packard-st
388,https://www.abodo.com/ann-arbor-mi/properties/1343500
389,https://www.abodo.com/ann-arbor-mi/1015-packard-apt-3
390,https://www.abodo.com/ann-arbor-mi/820-oxford-rd
391,https://www.abodo.com/ann-arbor-mi/517-s-1st-st
392,https://www.abodo.com/ann-arbor-mi/1101-church-st
393,https://www.abodo.com/ann-arbor-mi/1122-s-forest-ave
394,https://www.abodo.com/ann-arbor-mi/719-mckinley-ave
395,https://www.abodo.com/ann-arbor-mi/852-brookwood-pl
396,https://www.abodo.com/ann-arbor-mi/1908-geddes-ave
397,https://www.abodo.com/ann-arbor-mi/826-mc-kinley
398,https://www.abodo.com/ann-arbor-mi/510-benjamin-st
399,https://www.abodo.com/ann-arbor-mi/properties/3107293
400,https://www.abodo.com/ann-arbor-mi/510-benjamin-st
401,https://www.abodo.com/ann-arbor-mi/properties/3107293
402,https://www.abodo.com/ann-arbor-mi/852-brookwood-pl
403,https://www.abodo.com/ann-arbor-mi/1025-packard-st
404,https://www.abodo.com/ann-arbor-mi/504-benjamin-st
405,https://www.abodo.com/ann-arbor-mi/1213-prospect-st
406,https://www.abodo.com/ann-arbor-mi/1028-packard-st
407,https://www.abodo.com/ann-arbor-mi/1121-church-st
408,https://www.abodo.com/ann-arbor-mi/1105-church-st
409,https://www.abodo.com/ann-arbor-mi/1117-s-forest-ave
410,https://www.abodo.com/ann-arbor-mi/1208-roosevelt-ct
411,https://www.abodo.com/ann-arbor-mi/1201-white-st
412,https://www.abodo.com/ann-arbor-mi/529-n-division-st
413,https://www.abodo.com/ann-arbor-mi/1024-packard-st
414,https://www.abodo.com/ann-arbor-mi/1125-michigan-ave
415,https://www.abodo.com/ann-arbor-mi/521-n-division-st-apt-1
416,https://www.abodo.com/ann-arbor-mi/521-n-division-st-apt-3
417,https://www.abodo.com/ann-arbor-mi/409-3rd-st
418,https://www.abodo.com/ann-arbor-mi/909-packard
419,https://www.abodo.com/ann-arbor-mi/properties/3735077
420,https://www.abodo.com/ann-arbor-mi/921-packard-st
421,https://www.abodo.com/ann-arbor-mi/149-hill-st
422,https://www.abodo.com/ann-arbor-mi/1019-packard-st
423,https://www.abodo.com/ann-arbor-mi/properties/2137035
424,https://www.abodo.com/ann-arbor-mi/1114-michigan-ave
425,https://www.abodo.com/ann-arbor-mi/1118-michigan
426,https://www.abodo.com/ann-arbor-mi/1203-church
427,https://www.abodo.com/ann-arbor-mi/324-e-jefferson-st
428,https://www.abodo.com/ann-arbor-mi/211-e-kingsley-st
429,https://www.abodo.com/ann-arbor-mi/1134-s-forest-ave
430,https://www.abodo.com/ann-arbor-mi/849-brookwood-pl
431,https://www.abodo.com/ann-arbor-mi/144-hill-st
432,https://www.abodo.com/ann-arbor-mi/540-detroit-st
433,https://www.abodo.com/ann-arbor-mi/1037-packard-st
434,https://www.abodo.com/ann-arbor-mi/337-1-2-third
435,https://www.abodo.com/ann-arbor-mi/812-mckinley-ave
436,https://www.abodo.com/ann-arbor-mi/337-third
437,https://www.abodo.com/ann-arbor-mi/1119-s-forest-ave
438,https://www.abodo.com/ann-arbor-mi/1125-s-forest-ave
439,https://www.abodo.com/ann-arbor-mi/1221-s-state-st
440,https://www.abodo.com/ann-arbor-mi/133-hill-st
441,https://www.abodo.com/ann-arbor-mi/622-s-ashley-st
442,https://www.abodo.com/ann-arbor-mi/831-brookwood-pl
443,https://www.abodo.com/ann-arbor-mi/339-third
444,https://www.abodo.com/ann-arbor-mi/537-detroit-st-1
445,https://www.abodo.com/ann-arbor-mi/1140-s-forest-ave
446,https://www.abodo.com/ann-arbor-mi/921-sylvan-ave
447,https://www.abodo.com/ann-arbor-mi/1103-packard-st
448,https://www.abodo.com/ann-arbor-mi/930-packard-st
